Name,BVN,Age,Occupation,LoanAmount,AnnualIncome,MonthlyNetSalary,InterestRate,NumberOfLoan,NumberOfDelayedPayment,OutstandingDebt,MonthsOfCreditHistory,PaymentOfMinimumAmount,MonthlyInstallmentAmount,AmountInvestedMonthly,MonthlyBalance
Rick Rothackerj,55441034172,28,Teacher,1108.44,34847.84,3037.99,6,1,1,605.03,320,0,18.82,40.39,484.59
Rick Rothackerj,55441034172,28,Teacher,1068.72,34847.84,3037.99,6,1,1,605.03,323,0,18.82,130.12,444.87
Rick Rothackerj,55441034172,28,Teacher,1105.36,34847.84,3037.99,6,1,0,605.03,324,0,18.82,43.48,481.51
Rick Rothackerj,55441034172,28,Teacher,979.93,34847.84,3037.99,6,1,4,605.03,326,0,18.82,218.9,356.08
Jasond,54287043303,54,Entrepreneur,1082.48,30689.89,2612.49,4,1,6,632.46,207,0,16.42,81.23,433.6
Jasond,54287043303,54,Entrepreneur,1058.83,30689.89,2612.49,4,1,3,632.46,208,0,16.42,124.88,409.95
Jasond,54287043303,55,Entrepreneur,1060.31,30689.89,2612.49,4,1,9,632.46,209,0,16.42,83.41,411.43
Deepaa,24395730388,21,Developer,1338.18,35547.71,2853.31,5,0,15,943.86,374,1,0,181.01,394.32
Np,41447213983,31,Lawyer,818.87,73928.46,5988.71,8,0,7,548.2,386,0,0,618.2,270.67
Charlie Zhur,77680156962,23,Doctor,1972.31,114838.41,9843.87,7,3,11,1377.74,260,0,226.89,649.81,367.68
Jamesj,80986670289,44,Journalist,695.21,31370.8,2825.23,12,2,0,421.43,318,0,46.62,298.74,227.16
Saphirj,94801633100,40,Teacher,1793.66,33751.27,2948.61,20,3,20,1328.93,231,1,65.01,70.13,399.72
Saphirj,94801633100,40,Teacher,1838.6,33751.27,2948.61,20,3,22,1328.93,233,1,65.01,25.19,444.66
Saphirj,94801633100,40,Teacher,1800.93,33751.27,2948.61,20,3,20,1328.93,235,1,65.01,72.86,406.99
Soyoungd,63784156162,33,Engineer,1628.84,88640.24,7266.69,1,2,0,950.36,307,0,135.17,298.19,543.31
Soyoungd,63784156162,33,Engineer,1647.41,88640.24,7266.69,1,2,2,950.36,309,0,135.17,279.62,561.88
Soyoungd,63784156162,33,Engineer,1280.9,88640.24,7266.69,1,2,0,950.36,310,0,135.17,686.13,195.37
Harriet McLeodd,65234834456,35,Entrepreneur,682.15,54392.16,4766.68,14,3,8,179.22,322,1,124.39,243.74,378.54
Harriet McLeodd,65234834456,35,Entrepreneur,451.04,54392.16,4766.68,14,3,7,179.22,325,1,124.39,494.84,147.43
Harriet McLeodd,65234834456,35,Entrepreneur,712.77,54392.16,4766.68,14,3,8,179.22,326,1,124.39,233.12,409.16
Harriet McLeodd,65234834456,36,Entrepreneur,767.77,54392.16,4766.68,14,3,8,179.22,328,1,124.39,158.11,464.16
Harriet McLeodd,65234834456,36,Entrepreneur,450.77,54392.16,4766.68,14,3,8,179.22,329,1,124.39,495.12,147.16
Sinead Carews,54416537723,39,Manager,2889.89,8701.55,519.13,32,7,9,2602.69,108,1,36.55,34.72,250.65
Sinead Carews,54416537723,39,Manager,2924.21,8701.55,519.13,32,7,7,2602.69,110,1,36.55,20.39,284.97
Sinead Carews,54416537723,39,Manager,2894.12,8701.55,519.13,32,7,9,2602.69,111,1,36.55,50.49,254.88
Poornimaf,54483097460,36,Entrepreneur,1196.92,25546.26,2415.86,14,5,14,758.44,218,0,101.33,53.1,337.15
Poornimaf,54483097460,37,Entrepreneur,1178.81,25546.26,2415.86,14,5,10,758.44,220,1,101.33,91.22,319.04
Poornimaf,54483097460,37,Entrepreneur,1159.73,25546.26,2415.86,14,5,14,758.44,224,1,101.33,130.3,299.96
Chalmersa,44399232487,30,Scientist,1310.43,31993.78,2942.15,7,2,14,818.22,202,1,45.14,82,447.07
Parkm,34621203316,20,Accountant,2057.71,92047.08,7591.59,16,0,11,1296.64,357,1,0,268.08,761.07
Patrickg,16500132199,45,Teacher,1598.35,32284.62,2898.39,17,6,12,1283.37,77,1,103.04,254.86,211.94
Patrickg,16500132199,46,Teacher,1740,32284.62,2898.39,17,6,12,1283.37,78,1,103.04,103.21,353.59
Patrickg,16500132199,46,Teacher,1777.42,32284.62,2898.39,17,6,12,1283.37,79,1,103.04,35.79,391.01
Patrickg,16500132199,46,Teacher,1582.99,32284.62,2898.39,17,6,12,1283.37,80,1,103.04,280.22,196.58
Patrickg,16500132199,46,Teacher,1503.44,32284.62,2898.39,17,6,12,1283.37,84,1,103.04,359.77,117.03
Laurence Frosty,87498832556,26,Musician,1676.85,97791.42,7449.47,12,0,8,107.41,331,1,629.82,108.3,939.62
Reema,88297736368,31,Entrepreneur,2786.15,19300.34,1512.36,17,5,18,2430.21,219,0,49.57,55.3,306.37
Mark Felsenthald,45162747287,41,Musician,1159.59,19514.88,1828.24,17,0,15,881.4,237,0,0,184.63,278.19
Lee Chyenz,53249959143,41,Media_Manager,1977.53,10183.02,1074.58,17,5,18,1672.43,122,0,37.59,92.36,267.51
Lee Chyenz,53249959143,41,Media_Manager,1978.01,10183.02,1074.58,17,5,23,1672.43,123,1,37.59,91.88,267.99
McBrideq,34894020624,32,Lawyer,890,12600.45,782.04,10,3,19,569.8,152,1,26.06,48.01,294.14
Rickt,38251044573,34,Mechanic,4050.19,57983.12,4720.93,31,8,21,3532.83,152,1,200.43,234.73,316.93
Ashleyk,52123887325,30,Writer,2978.49,34290.12,2697.51,25,7,10,2686.81,164,0,185.11,248.07,106.57
Williamso,77221818986,32,Accountant,1784.81,43070.24,3622.19,18,1,8,1233.1,232,1,30.58,50.51,521.13
Williamso,77221818986,32,Accountant,1687.23,43070.24,3622.19,18,1,8,1233.1,234,1,30.58,178.1,423.55
Williamso,77221818986,32,Accountant,1793.99,43070.24,3622.19,18,1,8,1233.1,235,1,30.58,41.33,530.31
Williamso,77221818986,32,Accountant,1756.7,43070.24,3622.19,18,1,8,1233.1,236,1,30.58,108.62,493.02
Sarahb,93516195466,37,Manager,2621.43,39641.54,3007.46,25,6,15,2258.73,106,1,172.38,198.04,190.32
Sarahb,93516195466,38,Manager,2680.21,39641.54,3007.46,25,6,13,2258.73,111,1,172.38,149.27,249.1
Mukhopadhyayc,84030758486,55,Scientist,805.44,20186.02,1684.17,1,2,3,413.32,221,0,29.53,26.29,362.59
Mukhopadhyayc,84030758486,55,Scientist,6714.44,20186.02,1684.17,1,2,6,413.32,225,0,5994,121.77,307.12
Ayeshaz,10433614044,43,Musician,2136.48,18627.64,1387.3,19,6,22,1793.54,228,1,65.14,75.79,277.8
Ayeshaz,10433614044,43,Musician,2102.68,18627.64,1387.3,19,6,21,1793.54,230,1,65.14,109.59,244
Ayeshaz,10433614044,44,Musician,2123.47,18627.64,1387.3,19,6,18,1793.54,232,1,65.14,98.8,264.79
Lisa Baertleinu,63129478945,21,Engineer,1821.22,12986.75,959.23,10,2,17,1489.49,105,1,16.72,44.19,315.01
Lisa Baertleinu,63129478945,21,Engineer,1818.15,12986.75,959.23,10,2,20,1489.49,106,1,16.72,47.27,311.94
Lisa Baertleinu,63129478945,22,Engineer,1803.07,12986.75,959.23,10,2,18,1489.49,108,1,16.72,72.35,296.86
Lisa Baertleinu,63129478945,22,Engineer,1783.58,12986.75,959.23,10,2,17,1489.49,111,1,16.72,91.83,277.37
Carlosj,11719774578,43,Writer,732.15,58317,4664.75,9,6,20,98.97,158,1,149.9,83.3,483.28
Carlosj,11719774578,44,Writer,464.86,58317,4664.75,9,6,20,98.97,163,1,149.9,380.59,215.99
